run_id,timestamp,resolution,augmentation,optimizer,seed,final_test_accuracy,best_test_accuracy,avg_epoch_time_sec,total_training_time_sec,num_epochs
R64_advanced_adamw_s7,2026-03-02T13:23:02.333437,64,advanced,adamw,7,84.75,84.75,56.23,281.13,5
R64_basic_sgd_s123,2026-03-02T13:27:55.606231,64,basic,sgd,123,55.74,55.74,54.66,273.28,5
R64_none_adam_s123,2026-03-02T13:32:49.506339,64,none,adam,123,85.5,85.5,54.77,273.85,5
R64_basic_sgd_s7,2026-03-02T13:37:43.599277,64,basic,sgd,7,55.02,55.02,54.71,273.56,5
R64_advanced_adam_s7,2026-03-02T13:42:44.385721,64,advanced,adam,7,84.87,84.87,54.86,274.3,5
R64_advanced_adamw_s123,2026-03-02T13:47:38.659183,64,advanced,adamw,123,84.39,84.39,54.84,274.22,5
R128_none_sgd_s7,2026-03-02T14:04:04.330076,128,none,sgd,7,55.44,55.44,185.29,926.43,5
R64_none_adam_s7,2026-03-02T14:08:58.146994,64,none,adam,7,86.03,86.03,54.76,273.78,5
R64_advanced_sgd_s7,2026-03-02T14:13:51.823524,64,advanced,sgd,7,52.12,52.12,54.69,273.46,5
R128_advanced_adamw_s123,2026-03-02T14:30:21.180018,128,advanced,adamw,123,80.12,80.12,185.49,927.47,5
R64_basic_adamw_s42,2026-03-02T14:35:15.255034,64,basic,adamw,42,84.65,84.65,54.75,273.75,5
R128_basic_sgd_s7,2026-03-02T14:51:39.870026,128,basic,sgd,7,52.24,52.24,185.03,925.17,5
R128_basic_sgd_s42,2026-03-02T15:08:06.779138,128,basic,sgd,42,52.74,52.74,185.0,925.01,5
R64_advanced_sgd_s42,2026-03-02T15:13:00.020384,64,advanced,sgd,42,53.32,53.32,54.6,272.99,5
R64_none_adamw_s123,2026-03-02T15:17:53.772231,64,none,adamw,123,85.22,85.22,54.74,273.69,5
R64_none_adam_s42,2026-03-02T15:22:49.938626,64,none,adam,42,86.1,86.1,54.79,273.94,5
R64_basic_adam_s123,2026-03-02T15:27:46.108474,64,basic,adam,123,84.41,84.41,54.77,273.84,5
R64_advanced_adamw_s42,2026-03-02T15:32:40.902654,64,advanced,adamw,42,84.9,84.9,54.94,274.71,5
R64_none_sgd_s7,2026-03-02T15:37:33.512604,64,none,sgd,7,58.25,58.25,54.49,272.44,5
R64_advanced_adam_s123,2026-03-02T15:42:28.143018,64,advanced,adam,123,84.25,84.25,54.91,274.56,5
R128_none_adamw_s7,2026-03-02T15:58:55.789016,128,none,adamw,7,82.32,82.32,185.23,926.15,5
R128_advanced_adam_s42,2026-03-02T16:15:22.704571,128,advanced,adam,42,80.96,80.96,185.48,927.4,5
R64_none_adamw_s7,2026-03-02T16:20:16.437984,64,none,adamw,7,85.77,85.77,54.73,273.67,5
R128_basic_adamw_s42,2026-03-02T16:36:42.511570,128,basic,adamw,42,80.67,80.67,185.35,926.75,5
R128_advanced_sgd_s42,2026-03-02T16:53:10.247058,128,advanced,sgd,42,50.0,50.0,185.2,926.0,5
R64_none_sgd_s42,2026-03-02T16:58:05.984887,64,none,sgd,42,57.91,57.91,54.48,272.41,5
R128_basic_adamw_s7,2026-03-02T17:14:31.407160,128,basic,adamw,7,82.25,82.25,185.22,926.08,5
R128_none_adam_s123,2026-03-02T17:31:00.211781,128,none,adam,123,81.36,81.36,185.25,926.25,5
R64_basic_adam_s7,2026-03-02T17:35:54.456471,64,basic,adam,7,85.74,85.74,54.77,273.85,5
R128_basic_adam_s123,2026-03-02T17:52:23.126274,128,basic,adam,123,81.88,81.88,185.42,927.09,5
