resolution,training_method,optimizer,n,mean,std,se,ci_lower,ci_upper
32,standard,sgd,3,46.38666666666666,1.9307079875872815,1.1146947763600776,44.20186490500091,48.571468428332416
32,standard,adam,3,50.09,1.1001363551851229,0.6351640208114244,48.845078519209615,51.33492148079039
32,standard,adamw,3,48.653333333333336,1.0179554672643272,0.5877168630481107,47.50140828175904,49.80525838490763
32,fgsm,sgd,3,17.273333333333333,0.3239341496868371,0.18702346852140794,16.906767335031375,17.63989933163529
32,fgsm,adam,3,18.05333333333333,0.18036999011291546,0.10413666234542189,17.849225475136304,18.257441191530358
32,fgsm,adamw,3,17.91333333333333,0.33501243758005866,0.1934195210187196,17.53423107213664,18.29243559453002
32,pgd,sgd,3,17.05333333333333,0.5621684207898312,0.3245680890729159,16.417179878750417,17.689486787916245
32,pgd,adam,3,17.713333333333335,0.10692676621563584,0.061734197258173536,17.592334306707315,17.834332359959355
32,pgd,adamw,3,17.75,0.5678908345800261,0.3278719262150993,17.107371024618406,18.392628975381594
64,standard,sgd,3,49.68666666666667,1.9060517656489144,1.1004594999867623,47.529766046692615,51.84356728664072
64,standard,adam,3,59.52,1.3064072871811443,0.7542545989253224,58.04166098610637,60.998339013893634
64,standard,adamw,3,59.86333333333334,0.555907666194068,0.32095344072172177,59.23426458951876,60.492402077147915
64,fgsm,sgd,3,14.92,0.4543126676640216,0.2622975409720799,14.405896819694723,15.434103180305277
64,fgsm,adam,3,19.106666666666666,0.10066445913694236,0.05811865258054175,18.992754107608803,19.220579225724528
64,fgsm,adamw,3,18.863333333333333,0.3728717384481347,0.21527759856623432,18.441389240143515,19.28527742652315
64,pgd,sgd,3,13.910000000000002,0.09999999999999964,0.05773502691896237,13.796839347238835,14.023160652761169
64,pgd,adam,3,18.16,0.09165151389911931,0.052915026221293265,18.056286548606266,18.263713451393734
64,pgd,adamw,3,18.126666666666665,0.15821925715074522,0.09134793070696538,17.947624722481013,18.305708610852317
96,standard,sgd,3,46.22333333333333,2.7703850514564445,1.5994825552172935,43.08834752510744,49.35831914155922
96,standard,adam,3,59.14000000000001,3.914639191547544,2.2601179910202336,54.71016873760035,63.56983126239967
96,standard,adamw,3,58.27666666666667,2.734123869420211,1.57854715200754,55.18271424873189,61.37061908460145
96,fgsm,sgd,3,14.339999999999998,0.33867388443752117,0.19553345834749908,13.9567544216389,14.723245578361096
96,fgsm,adam,3,18.080000000000002,0.5483611948342086,0.3165964834506752,17.459470892436677,18.700529107563327
96,fgsm,adamw,3,18.083333333333332,0.4214656965084258,0.24333333333333276,17.6064,18.560266666666664
96,pgd,sgd,3,13.61,0.19313207915828065,0.11150485789118546,13.391450478533276,13.828549521466723
96,pgd,adam,3,17.573333333333334,0.5193585787616617,0.29985181525398685,16.98562377543552,18.161042891231148
96,pgd,adamw,3,17.55333333333333,0.0737111479583204,0.04255715111601262,17.469921317145946,17.636745349520716
